1475818202;1;-296,983;166,457;296,987;166,514;-296,982;-166,522;296,972;-156,433;
1475818202;2;-296,922;161,542;296,968;161,52;-296,933;-161,501;296,938;-151,54;
1475818202;3;-296,932;156,525;296,98;156,499;-296,964;-156,533;296,949;-146,556;
1475818202;4;-297,018;151,497;297;151,518;-297,037;-151,506;296,978;-141,481;
1475818426;1;-296,986;166,461;296,983;166,501;-296,979;-166,518;296,972;-156,43;
1475818426;2;-296,924;161,542;296,968;161,524;-296,931;-161,499;296,941;-151,541;
1475818426;3;-296,932;156,526;296,986;156,498;-296,964;-156,533;296,948;-146,561;
1475818426;4;-297,02;151,489;297,002;151,525;-297,036;-151,506;296,973;-141,477;
1475818772;1;-298,036;168,641;0;0;-297,101;-164,355;0;0;
1475818772;2;-297,942;163,705;0;0;-297,13;-159,327;0;0;
1475818772;3;-297,92;158,705;0;0;-297,12;-154,344;0;0;
1475818772;4;-297,966;153,695;0;0;-297,182;-149,286;0;0;
1475819002;1;-297,025;166,48;296,978;166,565;-296,964;-166,529;297,018;-156,483;
1475819002;2;-296,932;161,533;296,959;161,505;-296,96;-161,51;296,917;-151,559;
1475819002;3;-296,943;156,522;296,985;156,498;-296,949;-156,53;296,977;-146,579;
1475819002;4;-297;151,497;297,007;151,539;-297,001;-151,476;296,933;-141,474;
1475819190;1;-297,015;166,518;296,97;166,533;-296,995;-166,494;296,973;-156,471;
1475819190;2;-296,919;161,532;296,989;161,487;-296,92;-161,519;296,961;-151,54;
1475819190;3;-296,942;156,498;296,966;156,511;-296,875;-156,543;296,974;-146,564;
1475819190;4;-296,999;151,515;296,958;151,52;-297,036;-151,51;296,91;-141,476;
1475819423;1;-297,019;166,488;296,977;166,546;-297,011;-166,511;297,004;-156,472;
1475819423;2;-296,918;161,523;296,981;161,461;-296,958;-161,529;296,934;-151,602;
1475819423;3;-296,929;156,518;296,971;156,542;-296,934;-156,534;296,983;-146,53;
1475819423;4;-297;151,515;296,979;151,535;-297,024;-151,49;296,964;-141,459;
1475819613;1;-297,053;166,481;296,972;166,549;-296,987;-166,511;297,04;-156,5;
1475819613;2;-296,93;161,537;296,97;161,534;-296,928;-161,508;296,935;-151,528;
1475819613;3;-296,93;156,552;296,977;156,511;-296,877;-156,5;296,963;-146,555;
1475819613;4;-297,037;151,486;296,988;151,471;-297,014;-151,512;296,914;-141,508;
1475819943;1;-297,046;166,513;297,002;166,517;-296,837;-166,51;296,955;-156,462;
1475819943;2;-296,938;161,542;296,957;161,506;-296,911;-161,521;296,915;-151,563;
