1487576754;1;-296,955;171,536;297,079;171,506;-296,999;-171,506;297,063;-161,517;
1487576754;2;-297,035;166,556;296,918;166,539;-297,037;-166,555;296,931;-156,491;
1487576754;3;-297,012;161,552;296,982;161,522;-297,047;-161,528;296,963;-151,496;
1487576754;4;-296,984;156,468;297,083;156,496;-296,989;-156,564;297,039;-146,518;
1487576957;1;-296,984;171,574;297,042;171,529;-297,037;-171,457;297,025;-161,512;
1487576957;2;-296,933;166,502;296,877;166,475;-296,922;-166,447;296,889;-156,431;
1487576957;3;-296,979;161,505;296,948;161,514;-296,999;-161,591;296,986;-151,516;
1487576957;4;-297,014;156,458;297,061;156,487;-297,021;-156,552;297,06;-146,538;
1487577267;1;-297,028;171,547;297,009;171,531;-297,055;-171,496;296,996;-161,482;
1487577267;2;-296,95;166,626;297,018;166,562;-296,985;-166,433;296,972;-156,486;
1487577267;3;-297,089;161,499;297,025;161,494;-297,07;-161,611;297,024;-151,556;
1487577267;4;-296,998;156,439;297,05;156,477;-296,971;-156,59;297,053;-146,521;
1487577459;1;-296,997;171,566;297,043;171,541;-296,986;-171,471;297,033;-161,472;
1487577459;2;-296,981;166,577;296,947;166,494;-297,017;-166,457;296,911;-156,516;
1487577459;3;-297,042;161,387;296,884;161,418;-297,002;-161,669;296,97;-151,501;
1487577459;4;-296,944;156,547;297,071;156,529;-296,963;-156,468;297,073;-146,505;
1487577778;1;-296,987;171,548;297,023;171,53;-297,039;-171,502;297,026;-161,491;
1487577778;2;-297,011;166,46;296,992;166,437;-297,016;-166,446;296,928;-156,462;
1487577778;3;-297,006;161,517;297,028;161,478;-297,032;-161,577;297,068;-151,459;
1487577778;4;-297,016;156,499;297,043;156,52;-297,018;-156,536;297,018;-146,518;
1487577965;1;-300,417;172,182;0;0;-298,672;-170,842;0;0;
1487577965;2;-300,334;167,238;0;0;-298,693;-165,794;0;0;
1487577965;3;-300,348;162,029;0;0;-298,676;-160,904;0;0;
1487577965;4;-300,297;157,169;0;0;-298,722;-155,851;0;0;
1487578216;1;-297,066;171,535;296,993;171,518;-297,02;-171,491;297,002;-161,501;
1487578216;2;-296,998;166,59;297,03;166,52;-297,017;-166,445;296,999;-156,485;
1487578216;3;-297,046;161,378;297,042;161,429;-296,979;-161,554;297,034;-151,531;
1487578216;4;-297,024;156,52;297,027;156,521;-297,002;-156,509;297,025;-146,494;
1487578423;1;-297,032;171,539;297,021;171,526;-297,035;-171,485;296,988;-161,5;
1487578423;2;-296,982;166,532;297,087;166,494;-296,997;-166,48;297,04;-156,448;
1487578423;3;-297,015;161,515;296,966;161,504;-297,04;-161,527;296,947;-151,538;
1487578423;4;-297,032;156,438;297,037;156,497;-296,992;-156,56;297,042;-146,509;
