Inspecta resultater;
Dato;="10-04-17 07:25 ";
Arkiv;098x0145.1712;
;;
Lot;1;
Lag;="1-4 af 8";
Paneler;8;
Step;Foer Boring;
;;
Komp. af boreprogram i X, ppm;174;
Komp. af boreprogram i Y, ppm;241;
Max. misreg hvis step, my;18;
Max. dispersion, my;175;
;;
Lag;2;3
Cu_pct;0;0
Cu_thk;0;0
Core_thk;0;0
old_x_comp job_setup;500;200
old_y_comp job_setup;400;200
new_x_comp;177;163
new_y_comp;58;73
;;
X-ppm;;;;
400;1 1 3 4 6 7  ; 
300;2 2 3 4 5 7 8 8  ; 
200;5 6  ; 
100; ;2 2 4 4 5 6 7  
-0-; ;1 1 3 3 5 6 7 8  
-100; ;8  
;;
Y-ppm;---------;---------
400;1 1 3 4 6 7 8 8  ; 
300;2 2 3 4 5 6 7  ; 
200;5  ;2 5 7  
100; ;1 1 2 3 3 4 4 5 6 6 7 8 8  
;;
;2;3
x offset p1;10;-11
y offset p1;-1;1
diag diff p1;1;48
x offset p2;-26;27
y offset p2;-16;16
diag diff p2;-9;15
x offset p3;-4;4
y offset p3;6;-6
diag diff p3;1;47
x offset p4;-19;20
y offset p4;-10;10
diag diff p4;36;48
x offset p5;-29;30
y offset p5;-19;19
diag diff p5;41;78
x offset p6;-38;39
y offset p6;-1;1
diag diff p6;-22;29
x offset p7;5;-5
y offset p7;22;-22
diag diff p7;8;45
x offset p8;-12;12
y offset p8;-10;10
diag diff p8;2;8
